,Modified_Commentary
2956,"FOUR, low full toss and sliding down, helped past backward square leg. Easy delivery to get and batsman doesn't miss out"
2957,"out Bowled!! Cleaned up. Full and straight, with a late tail back in. batsman swings to leg and can't connect. The ball clips the leg stump and bowler punches the air in delight. batsman b bowler 8(10) [4s-1]"
2958,"out Bowled!! Two in two. Before this ball, bowler was talking to Bhuvi as he set the field. Whatever he spoke, he executed to perfection. Inswinger, lands on a length and goes through the bat and pad gap of batsman. Too big a gap and the ball finds its way through to the stumps. bowler ends with a four-fer. What a story he has been this IPL. The whole of Old City in Hyderabad will be tucking into their biriyanis watching this. Certainly made his folks proud. batsman b bowler 0(1)"
2959,"FOUR, awkwardly for Warner and he can't stop it. A high full toss, swung away by batsman, bounces just in front of his body and he can't even get a hand on that. Slips away from his grasp"
2960,"out Bowled!! Brilliant yorker from Kaul. Late swing back in, batsman tried to squeeze it out, but the ball escaped past the bat, may have even kissed it, not too sure about that and then hit the off stump. Too good for a tailender. batsman b bowler 0(6)"
2961,"out Bowled!! Exceptional from bowler. Jadeja is on his haunches at the other end. Looking disappointed. Full and swinging back in, through the attempted whip of Praveen Kumar. Rushed past the bat. I predict a first baller for Munaf too. LBW or bowled. batsman b bowler 1(2)"
2962,"out Bowled!! You don't need to be a genius at this. Anyone can see that batsman has no chance against the swinging and pacy bowler. Especially at the death. batsman doesn't get in line, just stands outside leg and wafts his bat through the line. The late reverse swing takes the leg stump out and sends it out of its groove. That's clinical execution at the death. Perhaps the best exponent with the ball when bowling at the end in the world. batsman b bowler 0(1)"
2963,"SIX, ""he is a puller"" says the great Sanjay M on air. I have to agree with that. Anything near his range and he instinctively goes for the pull, a top edge on this but it went all the way and even if there was a fielder, it was going over his head. On the swivel and then got it away"
2964,"FOUR, four more. Again the pull. Can't bowl into his strengths. Into his range. This short ball sits up for him and he unleashes the Brian Lara-esque one-legged short arm-jabbed pull. Beats short fine to his right and races away"
2965,"FOUR, short and wide outside off, batsman rolled his wrists on the cut and got it down, beats extra cover and gets another boundary"
2966,"FOUR, too full this time from bowler and batsman lofts over mid-off. bowler is bleeding here and Ishan has raced to 31 off 13"
2967,"FOUR, smashed past the stumps at the other end. Too full and batsman has drilled that in a flash. Rocketed away"
2968,"1 run, fired in on the stumps, batsman drives and gets a single to long-on"
2969,"SIX, slightly slower and on the stumps, batsman plays his favorite slog to leg, connects cleanly and it goes all the way over mid-wicket. Can't give him the room to swing his arms"
2970,"FOUR, and now four more. bowler fired that fuller and faster on the stumps, a powerful drive and Warner at mid-off is slightly wide, so can't get there and once he did, didn't dive. Smith is hurting team"
2971,"SIX, given as six. Just landed on the ad-cushions. A top edge on the short-arm jab and Dhawan was running towards it with his left-hand stretched, attempting to catch it. But it went away from him and landed flush on the cushion"
2972,"SIX, maiden fifty for batsman. Raina stands and applauds. Picks the wrong-un and pulls, it was catchable for Nabi at the deep mid-wicket fence, but he was mindful of the ropes behind him, goes reverse-cup and can't catch it. Can't push it back either. bowler doesn't like that effort from his countryman"
2973,"SIX, that is the flattest hit for six. Rocks back and muscles the pull, over mid-wicket, picked the shortish delivery and was onto it in a flash. Sailed into the crowd"
2974,"FOUR, cute little paddle now. The line is down leg and with short fine inside that's not the way to go, batsman gets sufficient bat on that and beats the man inside the ring"
2975,"FOUR, batsman is a monster when he gets going that is. Stands on the crease and butchers this slowish off-cutter that sits up, beats extra cover with ease"
2976,"2 runs, punched to sweeper's left and batsman takes on Vijay to come back for the second. Good running"
2977,"FOUR, everything going team's way. A genuine outside edge and it has flown to the third man fence. Flashed at a length delivery outside off and got a thick edge"
2978,"out Caught by Hardik Pandya!! End of batsman and it is for a duck. Backed away to lift this shortish ball, which was rising, could only loft it straight up and Hardik moved to his left at extra cover to grab the skier. Not the sort of shot to be trying in the first over when the ball is bouncing. But that's how batsman plays. Mid-off left it for Hardik and that was a good pressure catch. batsman c Hardik Pandya b bowler 0(4)"
2979,"FOUR, good shot. Not all that and he latches on to it, rocks back and pulls hard wide of mid-on. Races away"
2980,"FOUR, fine late cut. Waited for the rising back of a length delivery outside off and then played it late, eluded backward point and gave third man no chance"
2981,"FOUR, to the left of third man. This is an edge. Tried to force that through backward point, the ball got big on him and he couldn't control it. But it raced away through the vacant gully region"
2982,"FOUR, now Rohit is angry. Must be at bowler. He brought the third man up and bowler hasn't bowled to his field. A slower delivery outside off, batsman plays it late and directs it in the gap between backward point and short third. That's three fours in the over"
2983,"FOUR, third four in that area between backward point and short third. Delicately steering it in the gap, beating the dive of backward point. Simmons did his best but couldn't stop it. Raced away"
2984,"SIX, pulls and pulls well. With a swivel, picks the slowish short ball and hammers it hard and high into the deep backward square stands. Sheldon Jackson in the dugout loved that"
2985,"out Bowled!! Knocked him over and Gambhir shakes his head. bowler is over the moon. Nipped in off the surface, batsman was late in getting his bat down and the inside edge rattled back on. That turns the game again. batsman b bowler 29(16) [4s-4 6s-1]"
2986,"FOUR, good start after the break. Sliding into the hips, elegantly flicked away, past short fine inside the ring and deep square can't get across. Stylishly put away too"
2987,"1 run, dropped by Suchith! The sub on for someone. A flat pull from Pandey and the sub running forward at deep mid-wicket can't cling on. That could be the game then and there. Wasn't a difficult take too"
2988,"FOUR, cute from batsman. On a length and outside off, batsman opens the face of the bat and runs it down, beats third man. Raced away. bowler isn't happy at all"
2989,out Caught by (sub)J Suchith!! Huge sigh of relief. From Suchith. He flashes a smile. Is happy that he has caught this mistimed pull at deep mid-wicket. bowler angling the short ball into Pandey and cramping the batsman for room. Replays show that he almost dropped this one as well. Just about hung on. batsman c (sub)J Suchith b bowler 33(33) [4s-2]
